浦东,plate,62343,57119,31.2080020904541,121.60652923583984,0,pudongxinqu,13133,district,2016-12-15
闵行,plate,55035,50441,31.0911865234375,121.40817260742188,0,minhang,6089,district,2016-12-15
宝山,plate,48573,43813,31.36947822570801,121.4288330078125,0,baoshan,4863,district,2016-12-15
徐汇,plate,80107,76492,31.17509841918945,121.44511413574219,0,xuhui,3496,district,2016-12-15
普陀,plate,65019,60021,31.25675582885742,121.40750122070312,0,putuo,3191,district,2016-12-15
杨浦,plate,67996,62462,31.29489326477051,121.53591918945312,0,yangpu,2922,district,2016-12-15
长宁,plate,78143,69278,31.21150779724121,121.38792419433594,0,changning,2512,district,2016-12-15
松江,plate,44610,36779,31.04570198059082,121.26515197753906,0,songjiang,3392,district,2016-12-15
嘉定,plate,41440,35079,31.31814002990723,121.2850570678711,0,jiading,3031,district,2016-12-15
黄浦,plate,94487,81331,31.22065353393555,121.48858642578125,0,huangpu,1510,district,2016-12-15
静安,plate,91750,78045,31.23179244995117,121.45355987548828,0,jingan,905,district,2016-12-15
闸北,plate,67999,63252,31.28703498840332,121.45176696777344,0,zhabei,1690,district,2016-12-15
虹口,plate,71649,63592,31.28334617614746,121.48950958251953,0,hongkou,1687,district,2016-12-15
青浦,plate,41196,33004,31.19689178466797,121.2168960571289,0,qingpu,1562,district,2016-12-15
奉贤,plate,30172,24803,30.89188575744629,121.5684585571289,0,fengxian,1471,district,2016-12-15
金山,plate,21374,15531,30.75156784057617,121.32638549804688,0,jinshan,17,district,2016-12-15
崇明,plate,24055,9858,31.61406326293945,121.5768051147461,0,chongming,8,district,2016-12-15
上海周边,plate,24638,23211,31.20127296447754,120.95641326904297,0,shanghaizhoubian,16,district,2016-12-15
金桥,village,59867,52703,31.283966,121.592597,0,jinqiao,1344,plate,2016-12-15
三林,village,63695,60674,31.151926,121.51377,0,sanlin,1073,plate,2016-12-15
北蔡,village,69114,60564,31.190782,121.559,0,beicai,808,plate,2016-12-15
周浦,village,48047,41736,31.110183,121.611749,0,zhoupu,675,plate,2016-12-15
川沙,village,42546,36458,31.156191,121.709888,0,chuansha,649,plate,2016-12-15
金杨,village,63731,56450,31.259828,121.575466,0,jinyang,638,plate,2016-12-15
世博,village,64190,60356,31.183675,121.501014,0,shibo,587,plate,2016-12-15
惠南,village,33180,30105,31.047659,121.773632,0,huinan,518,plate,2016-12-15
源深,village,85327,81245,31.242184,121.541869,0,yuanshen,482,plate,2016-12-15
康桥,village,53659,47709,31.147895,121.610455,0,kangqiao,481,plate,2016-12-15
洋泾,village,76056,70021,31.247063,121.559476,0,yangjing,477,plate,2016-12-15
张江,village,72171,54994,31.203197,121.621827,0,zhangjiang,464,plate,2016-12-15
陆家嘴,village,94558,91816,31.24095,121.519879,0,lujiazui,456,plate,2016-12-15
塘桥,village,70738,66636,31.215382,121.529509,0,tangqiao,373,plate,2016-12-15
花木,village,90510,100224,31.218426,121.564426,0,huamu,346,plate,2016-12-15
高行,village,57301,51434,31.297173,121.627523,0,gaohang,326,plate,2016-12-15
御桥,village,57957,58334,31.160751,121.574092,0,yuqiao1,321,plate,2016-12-15
外高桥,village,46573,42989,31.357954,121.567597,0,waigaoqiao,318,plate,2016-12-15
曹路,village,46767,44780,31.279967,121.691347,0,caolu,310,plate,2016-12-15
泥城镇,village,24170,19258,30.915025,121.845568,0,nichengzhen,304,plate,2016-12-15
潍坊,village,80031,74229,31.229587,121.53109,0,weifang,300,plate,2016-12-15
唐镇,village,67573,54437,31.230081,121.664757,0,tangzhen,250,plate,2016-12-15
航头,village,40579,34642,31.042152,121.601517,0,hangtou,221,plate,2016-12-15
杨东,village,81180,78496,31.208464,121.543594,0,yangdong,214,plate,2016-12-15
南码头,village,65208,61979,31.201221,121.51934,0,nanmatou,205,plate,2016-12-15
联洋,village,94505,91638,31.231733,121.561883,0,lianyang,194,plate,2016-12-15
碧云,village,88674,110698,31.246862,121.593719,0,biyun,156,plate,2016-12-15
新场,village,35583,32133,31.052052,121.64866,0,xinchang,142,plate,2016-12-15
高东,village,42240,36931,31.329087,121.642048,0,gaodong,125,plate,2016-12-15
宣桥,village,33109,25532,31.050072,121.698103,0,xuanqiao,91,plate,2016-12-15
书院镇,village,21851,19596,30.956083,121.882183,0,shuyuanzhen,83,plate,2016-12-15
合庆,village,35861,29381,31.239715,121.730298,0,geqing,81,plate,2016-12-15
祝桥,village,38733,38132,31.145559,121.814523,0,zhuqiao,58,plate,2016-12-15
临港新城,village,23078,20800,30.917256,121.936764,0,lingangxincheng,57,plate,2016-12-15
万祥镇,village,19339,16189,30.967603,121.83001,0,wanxiangzhen,3,plate,2016-12-15
大团镇,village,25221,21093,30.993609,121.764469,0,datuanzhen,3,plate,2016-12-15
古美,village,64802,67471,31.144555,121.400853,0,gumei,832,plate,2016-12-15
浦江,village,48995,42643,31.064241,121.519519,0,pujiang1,703,plate,2016-12-15
老闵行,village,41592,35607,31.011021,121.390163,0,laominhang,645,plate,2016-12-15
莘庄,village,51859,46845,31.103038,121.382833,0,shenzhuang,600,plate,2016-12-15
颛桥,village,48791,42748,31.072407,121.434432,0,zhuanqiao,586,plate,2016-12-15
春申,village,60642,54539,31.11649,121.425117,0,chunshen,454,plate,2016-12-15
七宝,village,58427,55875,31.153564,121.358363,0,qibao,442,plate,2016-12-15
梅陇,village,56795,48866,31.13689,121.416448,0,meilong,320,plate,2016-12-15
金虹桥,village,66736,64560,31.191012,121.397997,0,jinhongqiao,315,plate,2016-12-15
华漕,village,64029,43122,31.22162,121.304717,0,huacao,266,plate,2016-12-15
航华,village,50525,45871,31.177063,121.356441,0,hanghua,195,plate,2016-12-15
静安新城,village,59048,57962,31.163638,121.388798,0,jinganxincheng,185,plate,2016-12-15
龙柏,village,54457,66259,31.181883,121.371676,0,longbai,178,plate,2016-12-15
吴泾,village,42653,36224,31.03652,121.46634,0,wujing,165,plate,2016-12-15
金汇,village,67814,57262,31.182949,121.381683,0,jinhui,127,plate,2016-12-15
马桥,village,46890,28750,31.051743,121.375934,0,maqiao,76,plate,2016-12-15
徐家汇,village,88602,86265,31.200958,121.441618,0,xujiahui,820,plate,2016-12-15
康健,village,74866,62853,31.164627,121.423904,0,kangjian,419,plate,2016-12-15
斜土路,village,77809,78584,31.203292,121.468667,0,xietulu,287,plate,2016-12-15
