浦东,plate,62988,57119,31.2080020904541,121.60652923583984,0,pudongxinqu,15034,district,2016-12-30
闵行,plate,56266,50441,31.0911865234375,121.40817260742188,0,minhang,7105,district,2016-12-30
宝山,plate,48066,43813,31.36947822570801,121.4288330078125,0,baoshan,5880,district,2016-12-30
徐汇,plate,80504,76492,31.17509841918945,121.44511413574219,0,xuhui,3820,district,2016-12-30
普陀,plate,65336,60021,31.25675582885742,121.40750122070312,0,putuo,3734,district,2016-12-30
杨浦,plate,68020,62462,31.29489326477051,121.53591918945312,0,yangpu,3137,district,2016-12-30
长宁,plate,79029,69278,31.21150779724121,121.38792419433594,0,changning,2838,district,2016-12-30
松江,plate,45861,36779,31.04570198059082,121.26515197753906,0,songjiang,3983,district,2016-12-30
嘉定,plate,40618,35079,31.31814002990723,121.2850570678711,0,jiading,3831,district,2016-12-30
黄浦,plate,94837,81331,31.22065353393555,121.48858642578125,0,huangpu,1617,district,2016-12-30
静安,plate,91602,78045,31.23179244995117,121.45355987548828,0,jingan,1047,district,2016-12-30
闸北,plate,67514,63252,31.28703498840332,121.45176696777344,0,zhabei,1982,district,2016-12-30
虹口,plate,71988,63592,31.28334617614746,121.48950958251953,0,hongkou,1836,district,2016-12-30
青浦,plate,43626,33004,31.19689178466797,121.2168960571289,0,qingpu,1825,district,2016-12-30
奉贤,plate,30334,24803,30.89188575744629,121.5684585571289,0,fengxian,1600,district,2016-12-30
金山,plate,20138,15531,30.75156784057617,121.32638549804688,0,jinshan,14,district,2016-12-30
崇明,plate,19819,9858,31.61406326293945,121.5768051147461,0,chongming,7,district,2016-12-30
上海周边,plate,26662,23211,31.20127296447754,120.95641326904297,0,shanghaizhoubian,9,district,2016-12-30
金桥,village,59680,52703,31.283966,121.592597,0,jinqiao,1628,plate,2016-12-30
三林,village,64800,60674,31.151926,121.51377,0,sanlin,1157,plate,2016-12-30
北蔡,village,69908,60564,31.190782,121.559,0,beicai,890,plate,2016-12-30
川沙,village,41330,36458,31.156191,121.709888,0,chuansha,765,plate,2016-12-30
周浦,village,47785,41736,31.110183,121.611749,0,zhoupu,762,plate,2016-12-30
金杨,village,64342,56450,31.259828,121.575466,0,jinyang,749,plate,2016-12-30
世博,village,64685,60356,31.183675,121.501014,0,shibo,666,plate,2016-12-30
陆家嘴,village,95014,91816,31.24095,121.519879,0,lujiazui,561,plate,2016-12-30
源深,village,86309,81245,31.242184,121.541869,0,yuanshen,555,plate,2016-12-30
惠南,village,33637,30105,31.047659,121.773632,0,huinan,543,plate,2016-12-30
康桥,village,52940,47709,31.147895,121.610455,0,kangqiao,542,plate,2016-12-30
张江,village,74703,54994,31.203197,121.621827,0,zhangjiang,526,plate,2016-12-30
洋泾,village,76310,70021,31.247063,121.559476,0,yangjing,512,plate,2016-12-30
塘桥,village,71972,66636,31.215382,121.529509,0,tangqiao,409,plate,2016-12-30
花木,village,94154,100224,31.218426,121.564426,0,huamu,399,plate,2016-12-30
高行,village,58111,51434,31.297173,121.627523,0,gaohang,381,plate,2016-12-30
曹路,village,46503,44780,31.279967,121.691347,0,caolu,380,plate,2016-12-30
泥城镇,village,23798,19258,30.915025,121.845568,0,nichengzhen,375,plate,2016-12-30
御桥,village,59157,58334,31.160751,121.574092,0,yuqiao1,351,plate,2016-12-30
外高桥,village,46434,42989,31.357954,121.567597,0,waigaoqiao,345,plate,2016-12-30
潍坊,village,79691,74229,31.229587,121.53109,0,weifang,329,plate,2016-12-30
唐镇,village,70522,54437,31.230081,121.664757,0,tangzhen,291,plate,2016-12-30
航头,village,41247,34642,31.042152,121.601517,0,hangtou,281,plate,2016-12-30
杨东,village,81748,78496,31.208464,121.543594,0,yangdong,273,plate,2016-12-30
联洋,village,94856,91638,31.231733,121.561883,0,lianyang,251,plate,2016-12-30
南码头,village,64891,61979,31.201221,121.51934,0,nanmatou,220,plate,2016-12-30
碧云,village,88568,110698,31.246862,121.593719,0,biyun,196,plate,2016-12-30
高东,village,42156,36931,31.329087,121.642048,0,gaodong,143,plate,2016-12-30
新场,village,35823,32133,31.052052,121.64866,0,xinchang,142,plate,2016-12-30
宣桥,village,33113,25532,31.050072,121.698103,0,xuanqiao,119,plate,2016-12-30
合庆,village,34668,29381,31.239715,121.730298,0,geqing,92,plate,2016-12-30
祝桥,village,38408,38132,31.145559,121.814523,0,zhuqiao,85,plate,2016-12-30
临港新城,village,23000,20800,30.917256,121.936764,0,lingangxincheng,64,plate,2016-12-30
书院镇,village,21445,19596,30.956083,121.882183,0,shuyuanzhen,47,plate,2016-12-30
万祥镇,village,19339,16189,30.967603,121.83001,0,wanxiangzhen,3,plate,2016-12-30
大团镇,village,25771,21093,30.993609,121.764469,0,datuanzhen,2,plate,2016-12-30
顾村,village,45213,39627,31.366819,121.381863,0,gucun,898,plate,2016-12-30
大华,village,57329,52306,31.288346,121.419807,0,dahua,666,plate,2016-12-30
淞宝,village,49312,43374,31.394688,121.498283,0,songbao,609,plate,2016-12-30
上大,village,46018,40344,31.31994,121.380426,0,shangda,576,plate,2016-12-30
杨行,village,43051,38133,31.387305,121.458219,0,yanghang,566,plate,2016-12-30
张庙,village,49754,47162,31.344015,121.465046,0,zhangmiao,451,plate,2016-12-30
罗店,village,42173,35509,31.41392,121.364041,0,luodian,369,plate,2016-12-30
高境,village,57580,55798,31.329195,121.490091,0,gaojing,353,plate,2016-12-30
淞南,village,52513,48369,31.352141,121.486354,0,songnan,349,plate,2016-12-30
月浦,village,35829,32204,31.442191,121.425521,0,yuepu,314,plate,2016-12-30
共康,village,58606,52921,31.332526,121.433893,0,gongkang,247,plate,2016-12-30
共富,village,42880,39842,31.350784,121.422107,0,gongfu,208,plate,2016-12-30
通河,village,49954,49899,31.336366,121.454913,0,tonghe,121,plate,2016-12-30
大场镇,village,49806,43275,31.30723,121.410465,0,dachangzhen,112,plate,2016-12-30
罗泾,village,28021,26989,31.479723,121.357717,0,luojing,41,plate,2016-12-30
甘泉宜川,village,57932,54135,31.269952,121.442085,0,ganquanyichuan,502,plate,2016-12-30
长寿路,village,73061,69430,31.247107,121.44099,0,changshoulu,434,plate,2016-12-30
桃浦,village,52301,44483,31.286618,121.376114,0,taopu,419,plate,2016-12-30
长征,village,64296,57031,31.241258,121.379995,0,changzheng,352,plate,2016-12-30
武宁,village,78230,73312,31.240562,121.42597,0,wuning,333,plate,2016-12-30
真如,village,62964,55984,31.257806,121.413232,0,zhenru,327,plate,2016-12-30
万里,village,68131,61962,31.273656,121.411327,0,wanli,291,plate,2016-12-30
真光,village,53125,47487,31.25904,121.391673,0,zhenguang,257,plate,2016-12-30
长风,village,64461,58900,31.238356,121.402452,0,changfeng1,235,plate,2016-12-30
光新,village,68817,58687,31.259966,121.435366,0,guangxin,223,plate,2016-12-30
曹杨,village,64607,60774,31.245255,121.413035,0,caoyang,201,plate,2016-12-30
中远两湾城,village,72559,65992,31.258824,121.451176,0,zhongyuanliangwancheng,160,plate,2016-12-30
中山公园,village,77981,64915,31.22349,121.421632,0,zhongshangongyuan,633,plate,2016-12-30
新华路,village,76232,86230,31.210286,121.430659,0,xinhualu,415,plate,2016-12-30
古北,village,84808,74421,31.201375,121.40786,0,gubei,347,plate,2016-12-30
西郊,village,79123,48453,31.204387,121.371658,0,xijiao,346,plate,2016-12-30
北新泾,village,63706,58542,31.224677,121.365909,0,beixinjing,343,plate,2016-12-30
仙霞,village,70601,61879,31.21339,121.397673,0,xianxia,209,plate,2016-12-30
镇宁路,village,100516,83545,31.221373,121.44178,0,zhenninglu,191,plate,2016-12-30
天山,village,81651,76160,31.220107,121.400476,0,tianshan,191,plate,2016-12-30
虹桥,village,66639,61619,31.20834,121.407914,0,hongqiao1,163,plate,2016-12-30
徐家汇,village,88601,86265,31.200958,121.441618,0,xujiahui,924,plate,2016-12-30
康健,village,74780,62853,31.164627,121.423904,0,kangjian,443,plate,2016-12-30
斜土路,village,80047,78584,31.203292,121.468667,0,xietulu,314,plate,2016-12-30
龙华,village,77787,72168,31.172492,121.455372,0,longhua,304,plate,2016-12-30
田林,village,72122,69659,31.18281,121.431377,0,tianlin,289,plate,2016-12-30
华东理工,village,61292,58883,31.142948,121.431108,0,huadongligong,265,plate,2016-12-30
万体馆,village,72964,75072,31.184416,121.44496,0,wantiguan,198,plate,2016-12-30
长桥,village,69095,61318,31.136596,121.450242,0,changqiao,191,plate,2016-12-30
华泾,village,62034,60202,31.122732,121.46201,0,huajing,174,plate,2016-12-30
上海南站,village,66152,64171,31.152544,121.4386,0,shanghainanzhan,169,plate,2016-12-30
植物园,village,65116,62783,31.155696,121.450242,0,zhiwuyuan,161,plate,2016-12-30
衡山路,village,105084,98905,31.216648,121.452937,0,hengshanlu,152,plate,2016-12-30
建国西路,village,108245,108114,31.213498,121.463357,0,jianguoxilu,126,plate,2016-12-30
徐汇滨江,village,104321,87658,31.176169,121.4682,0,xuhuibinjiang,78,plate,2016-12-30
漕河泾,village,70038,67784,31.177604,121.410753,0,caohejing,32,plate,2016-12-30
古美,village,66078,67471,31.144555,121.400853,0,gumei,892,plate,2016-12-30
浦江,village,49414,42643,31.064241,121.519519,0,pujiang1,819,plate,2016-12-30
莘庄,village,52552,46845,31.103038,121.382833,0,shenzhuang,780,plate,2016-12-30
老闵行,village,41785,35607,31.011021,121.390163,0,laominhang,774,plate,2016-12-30
颛桥,village,49175,42748,31.072407,121.434432,0,zhuanqiao,682,plate,2016-12-30
春申,village,60359,54539,31.11649,121.425117,0,chunshen,534,plate,2016-12-30
七宝,village,58620,55875,31.153564,121.358363,0,qibao,515,plate,2016-12-30
梅陇,village,56718,48866,31.13689,121.416448,0,meilong,378,plate,2016-12-30
金虹桥,village,68774,64560,31.191012,121.397997,0,jinhongqiao,369,plate,2016-12-30
华漕,village,65014,43122,31.22162,121.304717,0,huacao,303,plate,2016-12-30
静安新城,village,59459,57962,31.163638,121.388798,0,jinganxincheng,211,plate,2016-12-30
吴泾,village,42792,36224,31.03652,121.46634,0,wujing,207,plate,2016-12-30
航华,village,50485,45871,31.177063,121.356441,0,hanghua,199,plate,2016-12-30
龙柏,village,54367,66259,31.181883,121.371676,0,longbai,177,plate,2016-12-30
金汇,village,68341,57262,31.182949,121.381683,0,jinhui,158,plate,2016-12-30
马桥,village,58795,28750,31.051743,121.375934,0,maqiao,107,plate,2016-12-30
中原,village,58982,55589,31.325786,121.543522,0,zhongyuan1,721,plate,2016-12-30
黄兴公园,village,66740,60677,31.303281,121.541258,0,huangxinggongyuan,533,plate,2016-12-30
周家嘴路,village,66858,63693,31.28341,121.551886,0,zhoujiazuilu,451,plate,2016-12-30
五角场,village,67161,62760,31.306875,121.510393,0,wujiaochang,365,plate,2016-12-30
新江湾城,village,75068,70600,31.333991,121.515279,0,xinjiangwancheng,296,plate,2016-12-30
鞍山,village,70820,64198,31.283794,121.516285,0,anshan,291,plate,2016-12-30
控江路,village,71737,64641,31.290028,121.541438,0,kongjianglu,251,plate,2016-12-30
东外滩,village,71132,60721,31.264597,121.538923,0,dongwaitan,229,plate,2016-12-30
凉城,village,64105,57615,31.296369,121.476005,0,liangcheng,556,plate,2016-12-30
曲阳,village,70564,64063,31.291432,121.496128,0,quyang,320,plate,2016-12-30
临平路,village,82312,68461,31.269288,121.504428,0,linpinglu,273,plate,2016-12-30
江湾镇,village,60759,63887,31.307723,121.487216,0,jiangwanzhen,226,plate,2016-12-30
北外滩,village,83527,70833,31.256432,121.509422,0,beiwaitan,197,plate,2016-12-30
鲁迅公园,village,68044,65314,31.276017,121.488977,0,luxungongyuan,190,plate,2016-12-30
四川北路,village,72874,59809,31.259781,121.490774,0,sichuanbeilu,74,plate,2016-12-30
曹家渡,village,85927,78710,31.236614,121.441071,0,caojiadu,322,plate,2016-12-30
南京西路,village,97878,82693,31.236534,121.462729,0,nanjingxilu,308,plate,2016-12-30
