浦东,plate,64457,56900,31.2080020904541,121.60652923583984,0,pudongxinqu,13998,district,2017-01-01
闵行,plate,56364,47434,31.0911865234375,121.40817260742188,0,minhang,6969,district,2017-01-01
宝山,plate,48237,42893,31.36947822570801,121.4288330078125,0,baoshan,5773,district,2017-01-01
徐汇,plate,80990,73705,31.17509841918945,121.44511413574219,0,xuhui,3776,district,2017-01-01
普陀,plate,65414,56800,31.25675582885742,121.40750122070312,0,putuo,3720,district,2017-01-01
杨浦,plate,68086,63461,31.29489326477051,121.53591918945312,0,yangpu,3171,district,2017-01-01
长宁,plate,79182,73553,31.21150779724121,121.38792419433594,0,changning,2827,district,2017-01-01
松江,plate,45879,43961,31.04570198059082,121.26515197753906,0,songjiang,3984,district,2017-01-01
嘉定,plate,40454,33808,31.31814002990723,121.2850570678711,0,jiading,3668,district,2017-01-01
黄浦,plate,95068,82028,31.22065353393555,121.48858642578125,0,huangpu,1627,district,2017-01-01
静安,plate,91743,83172,31.23179244995117,121.45355987548828,0,jingan,1040,district,2017-01-01
闸北,plate,67713,61987,31.28703498840332,121.45176696777344,0,zhabei,1984,district,2017-01-01
虹口,plate,71933,61293,31.28334617614746,121.48950958251953,0,hongkou,1819,district,2017-01-01
青浦,plate,44094,30938,31.19689178466797,121.2168960571289,0,qingpu,1770,district,2017-01-01
奉贤,plate,30350,24508,30.89188575744629,121.5684585571289,0,fengxian,1672,district,2017-01-01
金山,plate,20062,11683,30.75156784057617,121.32638549804688,0,jinshan,13,district,2017-01-01
崇明,plate,19819,13400,31.61406326293945,121.5768051147461,0,chongming,7,district,2017-01-01
上海周边,plate,26662,72576,31.20127296447754,120.95641326904297,0,shanghaizhoubian,8,district,2017-01-01
金桥,village,59814,52669,31.283966,121.592597,0,jinqiao,1573,plate,2017-01-01
三林,village,65393,58244,31.151926,121.51377,0,sanlin,1046,plate,2017-01-01
北蔡,village,69940,53926,31.190782,121.559,0,beicai,872,plate,2017-01-01
金杨,village,64300,56507,31.259828,121.575466,0,jinyang,743,plate,2017-01-01
周浦,village,47995,41491,31.110183,121.611749,0,zhoupu,695,plate,2017-01-01
